prompt_no,connector,sentiment,archive_file,archive_offset,global_offset,n,dimensions,source_embedding_file,source_text_file
63,6,neg,justification_embeddings_float32_part01.npz,11500,11500,384,1536,neg_embed_63_6_2_fin.pkl,neg_lst_63_1.pkl
63,6,pos,justification_embeddings_float32_part01.npz,11884,11884,116,1536,pos_embed_63_6_2_fin.pkl,pos_lst_63_1.pkl
84,1,neg,justification_embeddings_float32_part01.npz,12000,12000,148,1536,neg_embed_84_1_2_fin.pkl,neg_lst_84_1.pkl
84,1,pos,justification_embeddings_float32_part01.npz,12148,12148,352,1536,pos_embed_84_1_2_fin.pkl,pos_lst_84_1.pkl
84,2,neg,justification_embeddings_float32_part01.npz,12500,12500,148,1536,neg_embed_84_2_2_fin.pkl,neg_lst_84_1.pkl
84,2,pos,justification_embeddings_float32_part01.npz,12648,12648,352,1536,pos_embed_84_2_2_fin.pkl,pos_lst_84_1.pkl
84,3,neg,justification_embeddings_float32_part01.npz,13000,13000,148,1536,neg_embed_84_3_2_fin.pkl,neg_lst_84_1.pkl
84,3,pos,justification_embeddings_float32_part01.npz,13148,13148,352,1536,pos_embed_84_3_2_fin.pkl,pos_lst_84_1.pkl
84,4,neg,justification_embeddings_float32_part01.npz,13500,13500,148,1536,neg_embed_84_4_2_fin.pkl,neg_lst_84_1.pkl
84,4,pos,justification_embeddings_float32_part01.npz,13648,13648,352,1536,pos_embed_84_4_2_fin.pkl,pos_lst_84_1.pkl
84,5,neg,justification_embeddings_float32_part01.npz,14000,14000,148,1536,neg_embed_84_5_2_fin.pkl,neg_lst_84_1.pkl
84,5,pos,justification_embeddings_float32_part01.npz,14148,14148,352,1536,pos_embed_84_5_2_fin.pkl,pos_lst_84_1.pkl
84,6,neg,justification_embeddings_float32_part01.npz,14500,14500,148,1536,neg_embed_84_6_2_fin.pkl,neg_lst_84_1.pkl
84,6,pos,justification_embeddings_float32_part01.npz,14648,14648,352,1536,pos_embed_84_6_2_fin.pkl,pos_lst_84_1.pkl
85,1,neg,justification_embeddings_float32_part01.npz,15000,15000,298,1536,neg_embed_85_1_2_fin.pkl,neg_lst_85_1.pkl
85,1,pos,justification_embeddings_float32_part01.npz,15298,15298,202,1536,pos_embed_85_1_2_fin.pkl,pos_lst_85_1.pkl
