prompt_no,connector,sentiment,archive_file,archive_offset,global_offset,n,dimensions,source_embedding_file,source_text_file
220,5,pos,justification_embeddings_float32_part04.npz,635,50135,365,1536,pos_embed_220_5_2_fin.pkl,pos_lst_220_1.pkl
220,6,neg,justification_embeddings_float32_part04.npz,1000,50500,135,1536,neg_embed_220_6_2_fin.pkl,neg_lst_220_1.pkl
220,6,pos,justification_embeddings_float32_part04.npz,1135,50635,365,1536,pos_embed_220_6_2_fin.pkl,pos_lst_220_1.pkl
221,1,neg,justification_embeddings_float32_part04.npz,1500,51000,307,1536,neg_embed_221_1_2_fin.pkl,neg_lst_221_1.pkl
221,1,pos,justification_embeddings_float32_part04.npz,1807,51307,193,1536,pos_embed_221_1_2_fin.pkl,pos_lst_221_1.pkl
221,2,neg,justification_embeddings_float32_part04.npz,2000,51500,307,1536,neg_embed_221_2_2_fin.pkl,neg_lst_221_1.pkl
221,2,pos,justification_embeddings_float32_part04.npz,2307,51807,193,1536,pos_embed_221_2_2_fin.pkl,pos_lst_221_1.pkl
221,3,neg,justification_embeddings_float32_part04.npz,2500,52000,307,1536,neg_embed_221_3_2_fin.pkl,neg_lst_221_1.pkl
221,3,pos,justification_embeddings_float32_part04.npz,2807,52307,193,1536,pos_embed_221_3_2_fin.pkl,pos_lst_221_1.pkl
221,4,neg,justification_embeddings_float32_part04.npz,3000,52500,307,1536,neg_embed_221_4_2_fin.pkl,neg_lst_221_1.pkl
221,4,pos,justification_embeddings_float32_part04.npz,3307,52807,193,1536,pos_embed_221_4_2_fin.pkl,pos_lst_221_1.pkl
221,5,neg,justification_embeddings_float32_part04.npz,3500,53000,307,1536,neg_embed_221_5_2_fin.pkl,neg_lst_221_1.pkl
221,5,pos,justification_embeddings_float32_part04.npz,3807,53307,193,1536,pos_embed_221_5_2_fin.pkl,pos_lst_221_1.pkl
221,6,neg,justification_embeddings_float32_part04.npz,4000,53500,307,1536,neg_embed_221_6_2_fin.pkl,neg_lst_221_1.pkl
221,6,pos,justification_embeddings_float32_part04.npz,4307,53807,193,1536,pos_embed_221_6_2_fin.pkl,pos_lst_221_1.pkl
236,1,neg,justification_embeddings_float32_part04.npz,4500,54000,330,1536,neg_embed_236_1_2_fin.pkl,neg_lst_236_1.pkl
236,1,pos,justification_embeddings_float32_part04.npz,4830,54330,170,1536,pos_embed_236_1_2_fin.pkl,pos_lst_236_1.pkl
236,2,neg,justification_embeddings_float32_part04.npz,5000,54500,330,1536,neg_embed_236_2_2_fin.pkl,neg_lst_236_1.pkl
236,2,pos,justification_embeddings_float32_part04.npz,5330,54830,170,1536,pos_embed_236_2_2_fin.pkl,pos_lst_236_1.pkl
236,3,neg,justification_embeddings_float32_part04.npz,5500,55000,330,1536,neg_embed_236_3_2_fin.pkl,neg_lst_236_1.pkl
236,3,pos,justification_embeddings_float32_part04.npz,5830,55330,170,1536,pos_embed_236_3_2_fin.pkl,pos_lst_236_1.pkl
236,4,neg,justification_embeddings_float32_part04.npz,6000,55500,330,1536,neg_embed_236_4_2_fin.pkl,neg_lst_236_1.pkl
236,4,pos,justification_embeddings_float32_part04.npz,6330,55830,170,1536,pos_embed_236_4_2_fin.pkl,pos_lst_236_1.pkl
236,5,neg,justification_embeddings_float32_part04.npz,6500,56000,330,1536,neg_embed_236_5_2_fin.pkl,neg_lst_236_1.pkl
236,5,pos,justification_embeddings_float32_part04.npz,6830,56330,170,1536,pos_embed_236_5_2_fin.pkl,pos_lst_236_1.pkl
236,6,neg,justification_embeddings_float32_part04.npz,7000,56500,330,1536,neg_embed_236_6_2_fin.pkl,neg_lst_236_1.pkl
236,6,pos,justification_embeddings_float32_part04.npz,7330,56830,170,1536,pos_embed_236_6_2_fin.pkl,pos_lst_236_1.pkl
237,1,neg,justification_embeddings_float32_part04.npz,7500,57000,219,1536,neg_embed_237_1_2_fin.pkl,neg_lst_237_1.pkl
237,1,pos,justification_embeddings_float32_part04.npz,7719,57219,281,1536,pos_embed_237_1_2_fin.pkl,pos_lst_237_1.pkl
237,2,neg,justification_embeddings_float32_part04.npz,8000,57500,219,1536,neg_embed_237_2_2_fin.pkl,neg_lst_237_1.pkl
237,2,pos,justification_embeddings_float32_part04.npz,8219,57719,281,1536,pos_embed_237_2_2_fin.pkl,pos_lst_237_1.pkl
237,3,neg,justification_embeddings_float32_part04.npz,8500,58000,219,1536,neg_embed_237_3_2_fin.pkl,neg_lst_237_1.pkl
237,3,pos,justification_embeddings_float32_part04.npz,8719,58219,281,1536,pos_embed_237_3_2_fin.pkl,pos_lst_237_1.pkl
237,4,neg,justification_embeddings_float32_part04.npz,9000,58500,219,1536,neg_embed_237_4_2_fin.pkl,neg_lst_237_1.pkl
237,4,pos,justification_embeddings_float32_part04.npz,9219,58719,281,1536,pos_embed_237_4_2_fin.pkl,pos_lst_237_1.pkl
237,5,neg,justification_embeddings_float32_part04.npz,9500,59000,219,1536,neg_embed_237_5_2_fin.pkl,neg_lst_237_1.pkl
237,5,pos,justification_embeddings_float32_part04.npz,9719,59219,281,1536,pos_embed_237_5_2_fin.pkl,pos_lst_237_1.pkl
237,6,neg,justification_embeddings_float32_part04.npz,10000,59500,219,1536,neg_embed_237_6_2_fin.pkl,neg_lst_237_1.pkl
237,6,pos,justification_embeddings_float32_part04.npz,10219,59719,281,1536,pos_embed_237_6_2_fin.pkl,pos_lst_237_1.pkl
312,1,neg,justification_embeddings_float32_part04.npz,10500,60000,178,1536,neg_embed_312_1_2_fin.pkl,neg_lst_312_1.pkl
312,1,pos,justification_embeddings_float32_part04.npz,10678,60178,322,1536,pos_embed_312_1_2_fin.pkl,pos_lst_312_1.pkl
312,2,neg,justification_embeddings_float32_part04.npz,11000,60500,178,1536,neg_embed_312_2_2_fin.pkl,neg_lst_312_1.pkl
312,2,pos,justification_embeddings_float32_part04.npz,11178,60678,322,1536,pos_embed_312_2_2_fin.pkl,pos_lst_312_1.pkl
312,3,neg,justification_embeddings_float32_part04.npz,11500,61000,178,1536,neg_embed_312_3_2_fin.pkl,neg_lst_312_1.pkl
312,3,pos,justification_embeddings_float32_part04.npz,11678,61178,322,1536,pos_embed_312_3_2_fin.pkl,pos_lst_312_1.pkl
312,4,neg,justification_embeddings_float32_part04.npz,12000,61500,178,1536,neg_embed_312_4_2_fin.pkl,neg_lst_312_1.pkl
312,4,pos,justification_embeddings_float32_part04.npz,12178,61678,322,1536,pos_embed_312_4_2_fin.pkl,pos_lst_312_1.pkl
312,5,neg,justification_embeddings_float32_part04.npz,12500,62000,178,1536,neg_embed_312_5_2_fin.pkl,neg_lst_312_1.pkl
312,5,pos,justification_embeddings_float32_part04.npz,12678,62178,322,1536,pos_embed_312_5_2_fin.pkl,pos_lst_312_1.pkl
312,6,neg,justification_embeddings_float32_part04.npz,13000,62500,178,1536,neg_embed_312_6_2_fin.pkl,neg_lst_312_1.pkl
312,6,pos,justification_embeddings_float32_part04.npz,13178,62678,322,1536,pos_embed_312_6_2_fin.pkl,pos_lst_312_1.pkl
313,1,neg,justification_embeddings_float32_part04.npz,13500,63000,272,1536,neg_embed_313_1_2_fin.pkl,neg_lst_313_1.pkl
313,1,pos,justification_embeddings_float32_part04.npz,13772,63272,228,1536,pos_embed_313_1_2_fin.pkl,pos_lst_313_1.pkl
313,2,neg,justification_embeddings_float32_part04.npz,14000,63500,272,1536,neg_embed_313_2_2_fin.pkl,neg_lst_313_1.pkl
313,2,pos,justification_embeddings_float32_part04.npz,14272,63772,228,1536,pos_embed_313_2_2_fin.pkl,pos_lst_313_1.pkl
313,3,neg,justification_embeddings_float32_part04.npz,14500,64000,272,1536,neg_embed_313_3_2_fin.pkl,neg_lst_313_1.pkl
313,3,pos,justification_embeddings_float32_part04.npz,14772,64272,228,1536,pos_embed_313_3_2_fin.pkl,pos_lst_313_1.pkl
313,4,neg,justification_embeddings_float32_part04.npz,15000,64500,272,1536,neg_embed_313_4_2_fin.pkl,neg_lst_313_1.pkl
313,4,pos,justification_embeddings_float32_part04.npz,15272,64772,228,1536,pos_embed_313_4_2_fin.pkl,pos_lst_313_1.pkl
313,5,neg,justification_embeddings_float32_part04.npz,15500,65000,272,1536,neg_embed_313_5_2_fin.pkl,neg_lst_313_1.pkl
313,5,pos,justification_embeddings_float32_part04.npz,15772,65272,228,1536,pos_embed_313_5_2_fin.pkl,pos_lst_313_1.pkl
313,6,neg,justification_embeddings_float32_part04.npz,16000,65500,272,1536,neg_embed_313_6_2_fin.pkl,neg_lst_313_1.pkl
313,6,pos,justification_embeddings_float32_part04.npz,16272,65772,228,1536,pos_embed_313_6_2_fin.pkl,pos_lst_313_1.pkl
