prompt_no,connector,sentiment,embedding_file,text_file,n,dimensions
221,5,neg,neg_embed_221_5_2_fin.pkl,neg_lst_221_1.pkl,307,1536
221,6,neg,neg_embed_221_6_2_fin.pkl,neg_lst_221_1.pkl,307,1536
236,1,neg,neg_embed_236_1_2_fin.pkl,neg_lst_236_1.pkl,330,1536
236,2,neg,neg_embed_236_2_2_fin.pkl,neg_lst_236_1.pkl,330,1536
236,3,neg,neg_embed_236_3_2_fin.pkl,neg_lst_236_1.pkl,330,1536
236,4,neg,neg_embed_236_4_2_fin.pkl,neg_lst_236_1.pkl,330,1536
236,5,neg,neg_embed_236_5_2_fin.pkl,neg_lst_236_1.pkl,330,1536
236,6,neg,neg_embed_236_6_2_fin.pkl,neg_lst_236_1.pkl,330,1536
237,1,neg,neg_embed_237_1_2_fin.pkl,neg_lst_237_1.pkl,219,1536
237,2,neg,neg_embed_237_2_2_fin.pkl,neg_lst_237_1.pkl,219,1536
237,3,neg,neg_embed_237_3_2_fin.pkl,neg_lst_237_1.pkl,219,1536
237,4,neg,neg_embed_237_4_2_fin.pkl,neg_lst_237_1.pkl,219,1536
237,5,neg,neg_embed_237_5_2_fin.pkl,neg_lst_237_1.pkl,219,1536
237,6,neg,neg_embed_237_6_2_fin.pkl,neg_lst_237_1.pkl,219,1536
312,1,neg,neg_embed_312_1_2_fin.pkl,neg_lst_312_1.pkl,178,1536
312,2,neg,neg_embed_312_2_2_fin.pkl,neg_lst_312_1.pkl,178,1536
312,3,neg,neg_embed_312_3_2_fin.pkl,neg_lst_312_1.pkl,178,1536
312,4,neg,neg_embed_312_4_2_fin.pkl,neg_lst_312_1.pkl,178,1536
312,5,neg,neg_embed_312_5_2_fin.pkl,neg_lst_312_1.pkl,178,1536
312,6,neg,neg_embed_312_6_2_fin.pkl,neg_lst_312_1.pkl,178,1536
313,1,neg,neg_embed_313_1_2_fin.pkl,neg_lst_313_1.pkl,272,1536
313,2,neg,neg_embed_313_2_2_fin.pkl,neg_lst_313_1.pkl,272,1536
313,3,neg,neg_embed_313_3_2_fin.pkl,neg_lst_313_1.pkl,272,1536
313,4,neg,neg_embed_313_4_2_fin.pkl,neg_lst_313_1.pkl,272,1536
313,5,neg,neg_embed_313_5_2_fin.pkl,neg_lst_313_1.pkl,272,1536
313,6,neg,neg_embed_313_6_2_fin.pkl,neg_lst_313_1.pkl,272,1536
38,1,neg,neg_embed_38_1_2_fin.pkl,neg_lst_38_1.pkl,225,1536
38,2,neg,neg_embed_38_2_2_fin.pkl,neg_lst_38_1.pkl,225,1536
38,3,neg,neg_embed_38_3_2_fin.pkl,neg_lst_38_1.pkl,225,1536
38,4,neg,neg_embed_38_4_2_fin.pkl,neg_lst_38_1.pkl,225,1536
38,5,neg,neg_embed_38_5_2_fin.pkl,neg_lst_38_1.pkl,225,1536
38,6,neg,neg_embed_38_6_2_fin.pkl,neg_lst_38_1.pkl,225,1536
39,1,neg,neg_embed_39_1_2_fin.pkl,neg_lst_39_1.pkl,165,1536
39,2,neg,neg_embed_39_2_2_fin.pkl,neg_lst_39_1.pkl,165,1536
39,3,neg,neg_embed_39_3_2_fin.pkl,neg_lst_39_1.pkl,165,1536
39,4,neg,neg_embed_39_4_2_fin.pkl,neg_lst_39_1.pkl,165,1536
39,5,neg,neg_embed_39_5_2_fin.pkl,neg_lst_39_1.pkl,165,1536
39,6,neg,neg_embed_39_6_2_fin.pkl,neg_lst_39_1.pkl,165,1536
62,1,neg,neg_embed_62_1_2_fin.pkl,neg_lst_62_1.pkl,335,1536
62,2,neg,neg_embed_62_2_2_fin.pkl,neg_lst_62_1.pkl,335,1536
62,3,neg,neg_embed_62_3_2_fin.pkl,neg_lst_62_1.pkl,335,1536
62,4,neg,neg_embed_62_4_2_fin.pkl,neg_lst_62_1.pkl,335,1536
62,5,neg,neg_embed_62_5_2_fin.pkl,neg_lst_62_1.pkl,335,1536
62,6,neg,neg_embed_62_6_2_fin.pkl,neg_lst_62_1.pkl,335,1536
63,1,neg,neg_embed_63_1_2_fin.pkl,neg_lst_63_1.pkl,384,1536
63,2,neg,neg_embed_63_2_2_fin.pkl,neg_lst_63_1.pkl,384,1536
63,3,neg,neg_embed_63_3_2_fin.pkl,neg_lst_63_1.pkl,384,1536
63,4,neg,neg_embed_63_4_2_fin.pkl,neg_lst_63_1.pkl,384,1536
63,5,neg,neg_embed_63_5_2_fin.pkl,neg_lst_63_1.pkl,384,1536
63,6,neg,neg_embed_63_6_2_fin.pkl,neg_lst_63_1.pkl,384,1536
84,1,neg,neg_embed_84_1_2_fin.pkl,neg_lst_84_1.pkl,148,1536
84,2,neg,neg_embed_84_2_2_fin.pkl,neg_lst_84_1.pkl,148,1536
84,3,neg,neg_embed_84_3_2_fin.pkl,neg_lst_84_1.pkl,148,1536
84,4,neg,neg_embed_84_4_2_fin.pkl,neg_lst_84_1.pkl,148,1536
84,5,neg,neg_embed_84_5_2_fin.pkl,neg_lst_84_1.pkl,148,1536
84,6,neg,neg_embed_84_6_2_fin.pkl,neg_lst_84_1.pkl,148,1536
85,1,neg,neg_embed_85_1_2_fin.pkl,neg_lst_85_1.pkl,298,1536
85,2,neg,neg_embed_85_2_2_fin.pkl,neg_lst_85_1.pkl,298,1536
85,3,neg,neg_embed_85_3_2_fin.pkl,neg_lst_85_1.pkl,298,1536
85,4,neg,neg_embed_85_4_2_fin.pkl,neg_lst_85_1.pkl,298,1536
85,5,neg,neg_embed_85_5_2_fin.pkl,neg_lst_85_1.pkl,298,1536
85,6,neg,neg_embed_85_6_2_fin.pkl,neg_lst_85_1.pkl,298,1536
102,1,pos,pos_embed_102_1_2_fin.pkl,pos_lst_102_1.pkl,299,1536
